PK_Employee,FK_Travel_Agency,DSC_Employee,Birthdate,DSC_JobTitle,DSC_Address,COD_PostalCode,DSC_City,DSC_Gender,DSC_Nationality,DSC_MaritalStatus,COD_IdCardNumber,COD_NIF,COD_NISS,DSC_ContractType,Contract_Date,Amt_Salary,Load_ID,HashColumn,Insert_Date,Update_Date
1,1,Goncalo Gianno,19800126,Manager,Rua da Liberdade 1,1800-031,Lisbon,Male,Portuguese,Married,123456789,987456123,456128989,Permanent,20040501,2200.00,1,E19394D2D46C9E503419CD9258C02EEBF0CC70CC,2019-04-08 00:00:00,2019-04-08 00:00:00
2,1,Angela Goncalves,19771105,Sales Manager,Avenida da Alameda 56,1758-001,Lisbon,Female,Portuguese,Married,123456788,987456122,456128988,Permanent,19980417,1850.00,1,4891DA1E75D7826595679C5EE24127E0E44D5EB8,2019-04-08 00:00:00,2019-04-08 00:00:00
3,1,Jessica Lopes,19900530,Salesman,Pra�a Est�dio da Luz 37,1000-001,Lisbon,Female,Portuguese,Single,123456787,987456121,456128987,Fixed-term contract,20160528,1700.00,1,94792C8DB03355310DA1E43845E1AC3771D574F3,2019-04-08 00:00:00,2019-04-08 00:00:00
4,1,Alipio Jafosmega,19740425,Salesman,Rua Marqu�s do Pombal 20,1110-023,Lisbon,Male,Angolan,Divorced,123456786,987456120,456128986,Fixed-term contract,20171117,1700.00,1,759BCDB32FF8471CF7A0D9B95F2C836213B48C3B,2019-04-08 00:00:00,2019-04-08 00:00:00
5,1,Edilson Maracana,19840216,Salesman,Rua Do Rossio 11,1230-089,Lisbon,Male,Brasilian,Married,123456785,987456119,456128985,Permanent,20030303,1800.00,1,D5F403FB4DD757F3040513ACCE9BEE2BFF878D2F,2019-04-08 00:00:00,2019-04-08 00:00:00
6,2,Jose Santos,19580321,Manager,Avenida dos Aliados 33,4050-122,Porto,Male,Portuguese,Married,123456784,987456118,456128984,Permanent,20040114,2100.00,1,99AE6836FA0C23CB0B6BAA92E985CC10B36A0F2C,2019-04-08 00:00:00,2019-04-08 00:00:00
7,2,Vanderson Jesus,19920629,Sales Manager,Rua da Nobreza 70,4700-353,Porto,Male,Brasilian,Married,123456783,987456117,456128983,Permanent,20130202,1750.00,1,47DA8975F40877CAD6C3004A64B4C8F16ED59F21,2019-04-08 00:00:00,2019-04-08 00:00:00
8,2,Pedro Goncalves,19860627,Salesman,Praceta do Bulh�o 10,2112-323,Porto,Male,Portuguese,Single,123456782,987456116,456128982,Fixed-term contract,20160111,1750.00,1,052120621DD0EE0850C860AF965C90D777A8F25E,2019-04-08 00:00:00,2019-04-08 00:00:00
9,2,Valeria Garcia,19800823,Salesman,Rua do Vizinho de cima 89,4435-234,Porto,Female,Spanish,Single,123456781,987456115,456128981,Permanent,19991213,1700.00,1,F4EF3B3B58E85D62A63E8C4873E2245B72CA70EB,2019-04-08 00:00:00,2019-04-08 00:00:00
10,2,Eliana Silva,19781012,Salesman,Avenida dos Retornados 90,4000-001,Porto,Female,Brasilian,Divorced,123456780,987456114,456128980,Permanent,19971020,1700.00,1,B6D5E38D10B7A1961544142C8FF02AE70731846F,2019-04-08 00:00:00,2019-04-08 00:00:00
11,3,Joana Salgado,19731226,Manager,Rua do sol 21,8000-007,Faro,Female,Portuguese,Divorced,123456779,987456113,456128979,Permanent,19980804,2000.00,1,06A727A4206BDBC19EBC53FEE8520787D2F0A8F8,2019-04-08 00:00:00,2019-04-08 00:00:00
12,3,Lucia Perez,19781011,Sales Manager,Rua da Alegria 66,7330-012,Faro,Female,Spanish,Married,123456778,987456112,456128978,Permanent,19980407,1750.00,1,AA4753CD119EF72B3C60C4DE2CB24EAD349CD425,2019-04-08 00:00:00,2019-04-08 00:00:00
13,3,Emily Smith,19831201,Salesman,Avenida da Boa Vida 34,8000-006,Faro,Female,English,Single,123456777,987456111,456128977,Permanent,20081121,1750.00,1,52DCFF6FC2A4DD5327DCDBAE656420DB3DD8E0B5,2019-04-08 00:00:00,2019-04-08 00:00:00
14,3,Mirela Jones,19910114,Salesman,Rua dos Perdidos 45,8364-023,Faro,Female,English,Married,123456776,987456110,456128976,Permanent,20131121,1700.00,1,881580F0DD92C7ABE2D445217508B4E7BE2810D2,2019-04-08 00:00:00,2019-04-08 00:00:00
15,3,Kizua Gratid�o,20010126,Salesman,Rua do Bom Tempo 78,8000-088,Faro,Male,Angolan,Single,123456775,987456109,456128975,Internship,20180101,1500.00,1,D8714B659FEC4DC9E863C7F8CF0DFB6C823C9A1D,2019-04-08 00:00:00,2019-04-08 00:00:00
